Remoto;Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
10.5.1.2;10.5.11.2;0;0;0;1
10.5.3.2;10.5.1.2;6;159;611;170
10.5.20.2;10.5.1.2;3;147;632;182
10.5.1.108;74.125.224.177;0;0;3;0
74.125.224.162;10.5.1.103;0;7;0;0
10.5.1.103;23.203.216.143;0;0;3;0
10.5.1.103;23.211.11.213;0;1;1;0
10.5.1.103;184.51.102.10;0;0;37;0
10.5.1.103;184.51.102.59;0;9;16;0
184.51.102.59;10.5.1.103;0;0;1;0
10.5.1.103;66.235.138.195;0;0;1;0
10.5.1.103;10.5.7.2;0;0;0;1
10.5.1.105;10.5.4.2;0;0;0;1
10.5.1.104;10.5.15.2;0;0;0;1
10.5.11.2;10.5.1.2;11;173;580;201
10.5.10.2;10.5.1.2;18;183;595;174
10.5.16.2;10.5.1.2;27;142;716;195
10.5.19.2;10.5.1.2;3;183;602;184
10.5.14.2;10.5.1.103;3;0;4;0
10.5.19.2;10.5.1.105;6;1;1;0
10.5.4.2;10.5.1.104;3;1;2;0
10.5.17.2;10.5.1.3;6;0;1;0
10.5.16.2;10.5.1.3;4;0;0;0
10.5.2.2;10.5.1.109;9;0;1;0
10.5.14.2;10.5.1.102;4;1;0;0
10.5.4.2;10.5.1.103;3;0;0;0
10.5.11.2;10.5.1.106;6;1;0;0
10.5.14.2;10.5.1.110;3;0;0;0
10.5.12.2;10.5.1.102;4;0;1;0
10.5.20.2;10.5.1.103;3;0;0;0
10.5.12.2;10.5.1.106;3;0;1;0
10.5.11.2;10.5.1.105;5;0;1;0
10.5.10.2;10.5.1.105;6;0;0;0
10.5.19.2;10.5.1.107;7;0;0;0
10.5.20.2;10.5.1.104;9;2;2;0
10.5.17.2;10.5.1.108;5;0;1;0
10.5.14.2;10.5.1.107;3;0;0;0
10.5.15.2;10.5.1.104;3;0;1;0
10.5.9.2;10.5.1.106;9;2;0;0
10.5.3.2;10.5.1.103;3;0;0;0
10.5.2.2;10.5.1.108;7;2;0;0
10.5.12.2;10.5.1.109;6;0;0;0
10.5.18.2;10.5.1.110;3;0;0;0
10.5.1.106;10.5.4.2;0;119;0;0
10.5.1.106;10.5.11.2;0;127;0;0
10.5.1.106;10.5.7.2;0;113;0;0
10.5.1.106;10.5.10.2;0;125;0;0
10.5.1.106;10.5.2.2;0;117;0;0
10.5.1.106;10.5.8.2;0;118;0;0
10.5.1.106;10.5.12.2;0;127;0;0
10.5.1.106;10.5.15.2;0;129;0;0
10.5.1.106;10.5.16.2;0;106;0;0
10.5.1.106;10.5.20.2;0;112;0;0
10.5.1.106;10.5.17.2;0;139;0;0
10.5.1.106;10.5.6.2;0;113;0;0
10.5.1.106;10.5.18.2;0;121;0;0
10.5.1.106;10.5.9.2;0;116;0;0
10.5.1.106;10.5.13.2;0;110;0;0
10.5.7.2;10.5.1.106;0;0;3;0
10.5.19.2;10.5.1.106;3;0;1;0
10.5.1.106;10.5.19.2;0;117;0;0
10.5.1.106;10.5.5.2;0;122;0;0
10.5.1.106;10.5.14.2;0;134;0;0
10.5.19.2;10.5.1.110;9;3;4;0
10.5.2.2;10.5.1.110;3;0;1;0
10.5.3.2;10.5.1.108;0;0;1;0
10.5.5.2;10.5.1.108;2;0;2;0
10.5.10.2;10.5.1.109;3;0;2;0
10.5.12.2;10.5.1.103;0;0;2;0
10.5.8.2;10.5.1.105;0;0;1;0
10.5.4.2;10.5.1.105;0;0;1;0
10.5.18.2;10.5.1.109;3;0;1;0
10.5.6.2;10.5.1.104;0;0;2;0
10.5.7.2;10.5.1.107;2;1;1;0
10.5.5.2;10.5.1.107;2;0;1;0
10.5.10.2;10.5.1.106;0;0;1;0
10.5.11.2;10.5.1.110;0;0;2;0
10.5.1.102;10.5.1.1;6;0;0;0
10.5.1.107;10.3.1.5;22;0;0;0
10.5.7.2;10.5.1.104;6;0;0;0
192.101.102.2;10.5.1.104;0;0;142;0
10.5.1.103;23.203.211.51;0;1;0;0
10.5.1.103;54.209.66.143;0;2;0;0
10.5.1.103;54.88.12.157;0;2;2;0
23.203.211.51;10.5.1.103;0;0;1;0
10.5.1.103;74.125.224.173;0;6;0;0
23.61.194.251;10.5.1.103;0;0;1;0
10.5.5.2;10.5.1.2;0;159;648;192
178.255.83.2;10.5.1.2;0;0;1;0
10.5.1.106;10.3.1.5;4;0;6;0
10.5.1.103;74.125.224.167;0;1;0;0
10.5.1.103;23.61.194.250;0;0;1;0
93.184.215.191;10.5.1.110;0;0;297;0
10.5.14.2;10.5.1.2;24;174;630;193
10.5.1.103;10.3.1.5;30;0;24;0
74.125.224.166;10.5.1.103;0;2;0;0
10.5.1.108;74.125.224.178;0;0;1;0
108.161.188.224;10.5.1.2;0;0;1;0
10.5.1.2;74.125.224.168;0;0;5;0
74.125.224.168;10.5.1.2;0;3;0;0
64.94.107.24;10.5.1.2;0;1;0;0
23.21.86.68;10.5.1.2;0;1;0;0
74.125.224.186;10.5.1.2;0;0;2;2
23.21.215.5;10.5.1.2;0;3;0;0
54.243.169.120;10.5.1.2;0;2;0;0
10.5.1.1;10.5.1.104;0;4;0;0
10.5.1.108;74.125.224.180;0;0;11;0
10.5.1.110;184.28.16.72;0;1;0;0
184.28.16.72;10.5.1.110;0;1;0;0
216.34.181.96;10.5.1.2;0;0;2;0
74.125.224.185;10.5.1.2;0;1;0;0
10.5.1.2;74.125.224.165;0;0;1;0
74.125.224.165;10.5.1.2;0;1;0;0
64.94.107.53;10.5.1.2;0;1;0;0
107.20.143.131;10.5.1.2;0;1;0;0
107.21.109.142;10.5.1.2;0;3;0;0
147.91.1.121;10.5.1.110;0;0;1;0
64.94.107.43;10.5.1.110;0;1;0;0
10.5.1.110;74.125.239.0;0;0;1;0
74.125.239.0;10.5.1.110;0;1;0;0
23.21.215.5;10.5.1.110;0;3;0;0
141.101.114.59;10.5.1.110;0;0;1;0
0.0.0.0;255.255.255.255;0;0;56;0
10.5.1.1;10.5.1.107;2;0;0;0
10.5.1.108;74.125.224.165;0;1;0;0
10.5.1.110;10.3.1.5;6;0;0;0
10.5.1.2;23.61.194.241;0;0;4;0
64.94.107.52;10.5.1.2;0;1;0;0
23.21.122.50;10.5.1.2;0;2;0;0
23.203.59.231;10.5.1.2;0;1;0;0
64.94.107.47;10.5.1.2;0;1;0;0
23.203.217.63;10.5.1.2;0;0;2;0
10.5.1.2;10.5.8.101;0;13;0;0
::;ff02::1:ffff:3b67;0;0;1;0
10.5.1.103;239.255.255.250;4;0;0;0
10.5.1.2;8.8.8.8;18;0;0;0
10.5.1.104;17.158.10.42;23;0;0;0
10.5.1.1;10.5.1.106;3;0;0;0
10.5.1.1;10.5.1.108;4;43;0;0
::;ff02::1:ff37:7edb;0;0;13;0
10.5.18.2;10.5.1.3;2;0;1;0
10.5.12.2;10.5.1.3;4;1;1;0
10.5.19.2;10.5.1.3;2;1;2;0
10.5.3.2;10.5.1.3;0;0;1;0
10.5.1.2;10.5.6.2;0;299;0;0
10.5.11.2;10.5.1.108;0;0;3;0
10.5.7.2;10.5.1.105;0;0;1;0
10.5.17.2;10.5.1.105;6;1;1;0
10.5.8.2;10.5.1.109;0;0;2;0
10.5.5.2;10.5.1.103;0;0;2;0
10.5.1.107;10.5.1.1;0;0;3;0
10.5.1.110;10.5.3.2;0;731;833;27180
10.5.1.110;10.5.11.2;0;132;69;3349
10.5.1.110;10.5.15.2;0;317;143;3219
10.5.1.110;10.5.18.2;0;254;372;5906
10.5.1.110;10.5.9.2;0;209;6;785
10.5.1.110;10.5.7.2;0;176;2008;16836
10.5.1.110;10.5.19.2;0;854;413;1986
10.5.1.110;10.5.4.2;0;126;103;4579
10.5.1.110;10.5.6.2;0;162;99;4255
10.5.1.110;10.5.2.2;0;10;82;131
10.5.1.110;10.5.5.2;0;407;97;4103
10.5.1.110;10.5.14.2;0;315;1;794
10.5.1.110;10.5.10.2;0;246;914;27938
10.5.1.110;10.5.12.2;0;927;95;4033
10.5.1.110;10.5.13.2;0;213;730;20126
10.5.1.110;10.5.20.2;0;12;1;100
10.5.1.110;10.5.17.2;0;165;1;663
10.5.1.110;10.5.8.2;0;41;688;21953
10.5.1.1;10.5.1.109;2;5;0;0
::;ff02::16;0;0;18;0
::;ff02::1:ff6c:7c3e;0;0;1;0
10.5.1.2;10.5.12.2;0;5;0;0
::;ff02::1:ff11:7e42;0;0;3;0
::;ff02::1:fffd:436d;0;0;1;0
::;ff02::1:ffef:3638;0;0;2;0
10.5.1.102;10.3.1.5;0;0;4;0
10.5.1.2;10.5.15.2;0;1;0;0
10.5.1.2;10.5.7.2;0;12;0;0
10.5.1.2;10.5.20.2;0;36;0;0
10.5.1.2;10.5.9.2;0;7;0;0
10.5.1.2;10.5.8.2;0;71;0;0
10.5.1.2;10.5.14.2;0;4;0;1
10.5.1.2;10.5.16.2;0;4;0;0
10.5.1.2;10.5.18.2;0;42;0;0
10.5.1.2;10.5.10.2;0;79;0;0
10.5.1.2;10.5.5.2;0;2;0;0
10.5.1.2;10.5.2.2;0;5;0;0
10.5.1.2;10.5.3.2;0;9;0;0
10.5.1.2;10.5.19.2;0;35;0;0
10.5.1.110;10.5.1.1;0;12;0;0
10.5.14.2;10.5.1.106;3;0;1;0
10.5.17.2;10.5.1.103;6;1;1;0
10.5.16.2;10.5.1.105;2;0;2;0
10.5.4.2;10.5.1.109;3;0;1;0
10.5.14.2;10.5.1.104;6;0;1;0
10.5.1.108;10.5.1.1;0;1;0;0
10.5.1.104;10.3.1.5;0;1;21;0
10.5.9.2;10.5.1.3;2;0;1;0
10.5.4.2;10.5.1.3;2;0;1;0
10.5.10.2;10.5.1.3;6;2;1;0
10.5.5.2;10.5.1.3;4;0;1;0
10.5.14.2;10.5.1.3;6;0;1;0
10.5.7.2;10.5.1.3;2;0;1;0
10.5.11.2;10.5.1.102;8;0;0;0
10.5.19.2;10.5.1.103;6;0;1;0
10.5.18.2;10.5.1.106;3;0;0;0
10.5.13.2;10.5.1.105;4;0;1;0
10.5.19.2;10.5.1.104;6;0;0;0
10.5.7.2;10.5.1.110;3;0;1;0
10.5.9.2;10.5.1.101;9;0;0;0
10.5.4.2;10.5.1.102;12;3;0;0
10.5.9.2;10.5.1.107;6;0;0;0
10.5.19.2;10.5.1.102;2;0;0;0
10.5.10.2;10.5.1.103;9;2;0;0
10.5.5.2;10.5.1.104;3;0;0;0
10.5.17.2;10.5.1.106;3;0;1;0
10.5.10.2;10.5.1.110;6;0;3;0
10.5.11.2;10.5.1.101;6;1;0;0
10.5.20.2;10.5.1.101;9;0;1;0
10.5.3.2;10.5.1.101;6;0;1;0
10.5.12.2;10.5.1.101;6;0;0;0
10.5.20.2;10.5.1.107;2;0;0;0
10.5.10.2;10.5.1.107;2;0;0;0
10.5.1.109;10.5.7.2;0;0;34;0
10.5.8.2;10.5.1.110;3;0;0;0
10.5.18.2;10.5.1.105;6;0;0;0
10.5.1.110;10.5.16.2;0;354;257;4830
10.5.1.109;10.3.1.5;0;0;8;0
10.5.15.2;10.5.1.103;3;0;0;0
10.5.5.2;10.5.1.102;4;0;0;0
10.5.16.2;10.5.1.106;3;0;0;0
10.5.7.2;10.5.1.101;6;1;0;0
10.5.9.2;10.5.1.110;6;0;1;0
10.5.3.2;10.5.1.107;2;0;0;0
10.5.4.2;10.5.1.108;2;0;0;0
10.5.18.2;10.5.1.102;2;0;0;0
10.5.9.2;10.5.1.105;6;2;0;0
10.5.13.2;10.5.1.108;2;0;0;0
10.5.1.102;64.4.10.33;4;0;0;0
10.5.14.2;10.5.1.101;3;0;1;0
10.5.2.2;10.5.1.106;3;0;0;0
10.5.18.2;10.5.1.107;4;1;1;0
10.5.20.2;10.5.1.110;3;0;0;0
10.5.14.2;10.5.1.108;4;0;0;0
10.5.6.2;10.5.1.3;2;0;0;0
10.5.17.2;10.5.1.102;2;0;0;0
10.5.11.2;10.5.1.107;2;0;0;0
10.5.18.2;10.5.1.103;3;0;0;0
10.5.8.2;10.5.1.104;3;0;0;0
10.5.12.2;10.5.1.105;4;0;0;0
10.5.6.2;10.5.1.106;6;0;0;0
10.5.19.2;10.5.1.108;2;0;0;0
10.5.11.2;10.5.1.109;3;0;0;0
10.5.3.2;10.5.1.102;2;0;1;0
10.5.2.2;10.5.1.105;4;0;0;0
10.5.2.2;10.5.1.107;2;0;0;0
10.5.12.2;10.5.1.108;2;0;0;0
10.5.3.2;10.5.1.109;3;0;0;0
10.5.15.2;10.5.1.110;3;0;0;0
10.5.12.2;10.5.1.107;6;0;0;0
10.5.15.2;10.5.1.106;6;1;0;0
10.5.16.2;10.5.1.108;2;0;0;0
10.5.9.2;10.5.1.102;4;1;0;0
10.5.13.2;10.5.1.107;6;2;0;0
10.5.1.2;10.5.4.2;0;7;0;0
10.5.1.2;10.5.17.2;0;12;0;0
10.5.1.104;224.0.0.251;0;38;0;0
fe80::6a5b:35ff:fe91:f561;ff02::fb;0;38;0;0
10.5.1.2;10.5.6.113;4;0;0;0
10.5.5.2;10.5.1.109;6;2;0;0
10.5.12.2;10.5.1.110;6;2;0;0
10.5.5.2;10.5.1.101;6;2;1;0
10.5.6.2;10.5.1.103;3;0;0;0
10.5.17.2;10.5.1.104;3;0;0;0
10.5.7.2;10.5.1.109;3;0;1;0
10.5.8.2;10.5.1.108;2;0;1;0
10.5.7.2;10.5.1.102;2;0;0;0
10.5.18.2;10.5.1.108;4;1;0;0
10.5.11.2;10.5.1.104;3;1;1;0
10.5.6.2;10.5.1.105;2;1;0;0
10.5.8.2;10.5.1.106;3;1;0;0
10.5.13.2;10.5.1.109;3;1;0;0
10.5.16.2;10.5.1.101;3;1;1;0
10.5.2.2;10.5.1.103;3;1;0;0
10.5.13.2;10.5.1.104;3;1;1;0
10.5.17.2;10.5.1.107;2;1;0;0
10.5.6.2;10.5.1.108;4;2;0;0
10.5.17.2;10.5.1.109;3;1;0;0
10.5.2.2;10.5.1.3;2;1;0;0
10.5.7.2;10.5.1.103;3;1;1;0
10.5.14.2;10.5.1.109;3;1;0;0
10.5.13.2;10.5.1.3;0;0;2;0
10.5.13.2;10.5.1.101;0;0;1;0
10.5.11.2;10.5.1.103;0;0;1;0
10.5.8.2;10.5.1.103;0;0;1;0
10.5.12.2;10.5.1.104;0;0;1;0
10.5.10.2;10.5.1.104;0;0;1;0
10.5.2.2;10.5.1.104;0;0;1;0
10.5.6.2;10.5.1.107;0;0;1;0
10.5.15.2;10.5.1.109;0;0;1;0
10.5.6.2;10.5.1.109;0;0;1;0
10.5.16.2;10.5.1.109;0;0;2;0
10.5.1.109;10.5.3.2;0;432;0;16
10.5.1.109;10.5.2.2;0;3;0;4
10.5.1.110;10.5.6.1;0;16;0;0
10.5.1.110;10.5.13.1;0;15;0;0
10.5.1.110;10.5.10.1;0;14;0;0
10.5.1.110;10.5.19.1;0;18;0;0
10.5.1.110;10.5.3.1;0;9;0;0
10.5.1.110;10.5.16.1;0;6;0;0
10.5.1.110;10.5.12.1;0;6;0;0
10.5.1.110;10.5.7.1;0;17;0;0
10.5.1.110;10.5.17.1;0;14;0;0
10.5.1.110;10.5.20.1;0;16;0;0
10.5.1.110;10.5.4.1;0;8;0;0
10.5.1.110;10.5.11.1;0;9;0;0
10.5.1.110;10.5.8.1;0;16;0;0
10.5.1.110;10.5.9.1;0;10;0;0
10.5.1.110;10.5.2.1;0;13;0;0
10.5.1.110;10.5.14.1;0;12;0;0
10.5.1.110;10.5.15.1;0;14;0;0
10.5.1.110;10.5.18.1;0;9;0;0
::;ff02::1:ff91:f561;0;0;5;0
10.5.1.1;10.5.1.102;1;0;0;0
10.5.1.109;10.5.18.2;0;0;2;114
10.5.1.2;10.5.3.12;0;41;0;0
10.5.1.109;10.5.9.2;0;0;0;8
10.5.1.109;10.5.19.2;0;0;0;3
10.5.1.109;10.5.4.2;0;0;2;18
10.5.1.109;10.5.5.2;0;0;1;58
10.5.1.109;10.5.15.2;0;0;0;3
10.5.1.109;10.5.14.2;0;0;0;2
10.5.1.102;8.8.8.8;6;0;0;0
10.5.1.105;224.0.0.251;0;8;0;0
fe80::225:ff:fea5:4bdc;ff02::fb;0;8;0;0
10.5.1.109;10.5.10.2;0;0;0;2
10.5.1.109;10.5.13.2;0;0;7;0
