Remoto;Local;Etapa 1;Etapa 2;Etapa 3;Etapa 4
127.251.104.41;131.84.1.31;0;0;1;0
127.239.178.130;131.84.1.31;0;0;1;0
127.46.76.45;131.84.1.31;0;0;1;0
127.200.235.93;131.84.1.31;0;0;1;0
127.132.146.1;131.84.1.31;0;0;1;0
127.199.114.41;131.84.1.31;0;0;1;0
127.173.197.242;131.84.1.31;0;0;1;0
127.242.201.4;131.84.1.31;0;0;1;0
127.162.68.107;131.84.1.31;0;0;1;0
127.58.58.158;131.84.1.31;0;0;1;0
127.121.248.50;131.84.1.31;0;0;1;0
127.163.207.67;131.84.1.31;0;0;1;0
127.194.48.58;131.84.1.31;0;0;1;0
127.73.5.157;131.84.1.31;0;0;1;0
127.222.46.206;131.84.1.31;0;0;1;0
127.176.23.127;131.84.1.31;0;0;1;0
127.246.172.20;131.84.1.31;0;0;1;0
127.124.163.220;131.84.1.31;0;0;1;0
127.70.121.88;131.84.1.31;0;0;1;0
127.126.232.50;131.84.1.31;0;0;1;0
127.39.226.157;131.84.1.31;0;0;1;0
127.196.247.163;131.84.1.31;0;0;1;0
127.93.87.245;131.84.1.31;0;0;1;0
127.146.131.2;131.84.1.31;0;0;1;0
127.209.192.254;131.84.1.31;0;0;1;0
127.147.17.4;131.84.1.31;0;0;1;0
127.255.137.73;131.84.1.31;0;0;1;0
127.37.0.104;131.84.1.31;0;0;1;0
127.36.137.177;131.84.1.31;0;0;1;0
127.117.86.95;131.84.1.31;0;0;1;0
127.56.59.71;131.84.1.31;0;0;1;0
127.225.65.151;131.84.1.31;0;0;1;0
127.170.13.55;131.84.1.31;0;0;1;0
127.36.161.3;131.84.1.31;0;0;1;0
127.29.227.152;131.84.1.31;0;0;1;0
127.159.196.122;131.84.1.31;0;0;1;0
127.28.176.147;131.84.1.31;0;0;1;0
127.32.2.12;131.84.1.31;0;0;1;0
127.74.118.57;131.84.1.31;0;0;1;0
127.137.249.48;131.84.1.31;0;0;1;0
127.9.41.102;131.84.1.31;0;0;1;0
127.210.47.130;131.84.1.31;0;0;1;0
127.138.253.236;131.84.1.31;0;0;1;0
127.174.185.10;131.84.1.31;0;0;1;0
127.25.81.85;131.84.1.31;0;0;1;0
127.120.203.199;131.84.1.31;0;0;1;0
127.251.21.74;131.84.1.31;0;0;1;0
127.26.57.119;131.84.1.31;0;0;1;0
127.108.35.16;131.84.1.31;0;0;1;0
127.85.80.227;131.84.1.31;0;0;1;0
127.192.161.239;131.84.1.31;0;0;1;0
127.131.174.109;131.84.1.31;0;0;1;0
127.239.238.27;131.84.1.31;0;0;1;0
127.17.140.53;131.84.1.31;0;0;1;0
127.235.170.134;131.84.1.31;0;0;1;0
127.49.226.212;131.84.1.31;0;0;1;0
127.89.85.1;131.84.1.31;0;0;1;0
127.19.105.226;131.84.1.31;0;0;1;0
127.208.99.175;131.84.1.31;0;0;1;0
127.11.162.236;131.84.1.31;0;0;1;0
127.64.47.105;131.84.1.31;0;0;1;0
127.217.253.12;131.84.1.31;0;0;1;0
127.213.104.194;131.84.1.31;0;0;1;0
127.233.163.95;131.84.1.31;0;0;1;0
127.140.92.160;131.84.1.31;0;0;1;0
127.123.238.178;131.84.1.31;0;0;1;0
127.35.184.38;131.84.1.31;0;0;1;0
127.76.190.101;131.84.1.31;0;0;1;0
127.133.29.129;131.84.1.31;0;0;1;0
127.249.127.4;131.84.1.31;0;0;1;0
127.254.70.156;131.84.1.31;0;0;1;0
127.165.216.3;131.84.1.31;0;0;1;0
127.176.6.213;131.84.1.31;0;0;1;0
127.16.127.153;131.84.1.31;0;0;1;0
127.53.249.134;131.84.1.31;0;0;1;0
127.209.56.205;131.84.1.31;0;0;1;0
127.146.215.206;131.84.1.31;0;0;1;0
127.152.62.7;131.84.1.31;0;0;1;0
127.239.36.89;131.84.1.31;0;0;1;0
127.225.63.39;131.84.1.31;0;0;1;0
127.179.98.180;131.84.1.31;0;0;1;0
127.182.21.240;131.84.1.31;0;0;1;0
127.71.160.44;131.84.1.31;0;0;1;0
127.227.9.165;131.84.1.31;0;0;1;0
127.158.57.191;131.84.1.31;0;0;1;0
127.201.162.238;131.84.1.31;0;0;1;0
127.229.136.173;131.84.1.31;0;0;1;0
127.172.197.211;131.84.1.31;0;0;1;0
127.251.221.119;131.84.1.31;0;0;1;0
127.101.72.243;131.84.1.31;0;0;1;0
127.93.55.203;131.84.1.31;0;0;1;0
127.151.88.233;131.84.1.31;0;0;1;0
127.231.200.67;131.84.1.31;0;0;1;0
127.167.16.113;131.84.1.31;0;0;1;0
127.174.104.79;131.84.1.31;0;0;1;0
127.202.55.61;131.84.1.31;0;0;1;0
127.6.240.245;131.84.1.31;0;0;1;0
127.203.23.45;131.84.1.31;0;0;1;0
127.83.254.157;131.84.1.31;0;0;1;0
127.9.207.77;131.84.1.31;0;0;1;0
127.63.82.145;131.84.1.31;0;0;1;0
127.25.65.84;131.84.1.31;0;0;1;0
127.90.178.70;131.84.1.31;0;0;1;0
127.188.12.157;131.84.1.31;0;0;1;0
127.124.199.23;131.84.1.31;0;0;1;0
127.225.145.192;131.84.1.31;0;0;1;0
127.6.176.200;131.84.1.31;0;0;1;0
127.151.232.78;131.84.1.31;0;0;1;0
127.7.96.78;131.84.1.31;0;0;1;0
127.52.53.182;131.84.1.31;0;0;1;0
127.232.120.153;131.84.1.31;0;0;1;0
127.167.54.113;131.84.1.31;0;0;1;0
127.178.89.150;131.84.1.31;0;0;1;0
54.236.202.91;131.84.1.31;0;0;1;0
127.65.132.229;131.84.1.31;0;0;1;0
127.133.239.20;131.84.1.31;0;0;1;0
127.182.246.39;131.84.1.31;0;0;1;0
127.57.1.78;131.84.1.31;0;0;1;0
127.130.142.248;131.84.1.31;0;0;1;0
127.240.11.18;131.84.1.31;0;0;1;0
127.158.189.126;131.84.1.31;0;0;1;0
127.131.56.206;131.84.1.31;0;0;1;0
127.170.84.62;131.84.1.31;0;0;1;0
127.248.104.241;131.84.1.31;0;0;1;0
127.181.191.132;131.84.1.31;0;0;1;0
127.10.18.253;131.84.1.31;0;0;1;0
127.195.29.203;131.84.1.31;0;0;1;0
127.83.112.140;131.84.1.31;0;0;1;0
127.1.52.209;131.84.1.31;0;0;1;0
127.128.48.225;131.84.1.31;0;0;1;0
127.245.208.190;131.84.1.31;0;0;1;0
127.101.188.85;131.84.1.31;0;0;1;0
127.200.52.52;131.84.1.31;0;0;1;0
127.141.125.122;131.84.1.31;0;0;1;0
127.126.227.188;131.84.1.31;0;0;1;0
127.82.208.41;131.84.1.31;0;0;1;0
127.95.55.83;131.84.1.31;0;0;1;0
127.17.236.123;131.84.1.31;0;0;1;0
127.126.130.42;131.84.1.31;0;0;1;0
127.178.83.188;131.84.1.31;0;0;1;0
127.27.152.112;131.84.1.31;0;0;1;0
127.8.30.194;131.84.1.31;0;0;1;0
127.216.250.80;131.84.1.31;0;0;1;0
127.45.128.194;131.84.1.31;0;0;1;0
127.63.92.55;131.84.1.31;0;0;1;0
127.219.9.179;131.84.1.31;0;0;1;0
127.255.33.30;131.84.1.31;0;0;1;0
127.162.76.116;131.84.1.31;0;0;1;0
127.84.81.30;131.84.1.31;0;0;1;0
127.53.238.16;131.84.1.31;0;0;1;0
127.47.4.135;131.84.1.31;0;0;1;0
127.233.20.35;131.84.1.31;0;0;1;0
127.158.251.150;131.84.1.31;0;0;1;0
127.44.207.213;131.84.1.31;0;0;1;0
127.123.78.74;131.84.1.31;0;0;1;0
127.124.106.160;131.84.1.31;0;0;1;0
127.24.80.232;131.84.1.31;0;0;1;0
127.64.83.204;131.84.1.31;0;0;1;0
127.126.211.251;131.84.1.31;0;0;1;0
127.57.94.240;131.84.1.31;0;0;1;0
127.72.166.133;131.84.1.31;0;0;1;0
127.135.253.127;131.84.1.31;0;0;1;0
127.209.174.52;131.84.1.31;0;0;1;0
127.101.59.58;131.84.1.31;0;0;1;0
127.81.75.253;131.84.1.31;0;0;1;0
127.174.111.194;131.84.1.31;0;0;1;0
127.146.182.136;131.84.1.31;0;0;1;0
127.103.170.64;131.84.1.31;0;0;1;0
127.183.79.123;131.84.1.31;0;0;1;0
127.3.250.154;131.84.1.31;0;0;1;0
127.207.199.133;131.84.1.31;0;0;1;0
127.58.74.237;131.84.1.31;0;0;1;0
127.108.202.5;131.84.1.31;0;0;1;0
127.91.197.133;131.84.1.31;0;0;1;0
127.45.73.200;131.84.1.31;0;0;1;0
127.112.96.165;131.84.1.31;0;0;1;0
127.233.155.222;131.84.1.31;0;0;1;0
127.128.218.210;131.84.1.31;0;0;1;0
115.166.137.80;131.84.1.31;0;0;1;0
127.253.37.56;131.84.1.31;0;0;1;0
127.15.221.243;131.84.1.31;0;0;1;0
127.205.151.139;131.84.1.31;0;0;1;0
127.103.205.2;131.84.1.31;0;0;1;0
40.150.29.185;131.84.1.31;0;0;1;0
127.119.234.29;131.84.1.31;0;0;1;0
127.136.243.202;131.84.1.31;0;0;1;0
127.58.6.11;131.84.1.31;0;0;1;0
127.215.166.74;131.84.1.31;0;0;1;0
127.229.65.23;131.84.1.31;0;0;1;0
127.85.42.211;131.84.1.31;0;0;1;0
127.114.55.56;131.84.1.31;0;0;1;0
127.31.65.41;131.84.1.31;0;0;1;0
34.5.17.249;131.84.1.31;0;0;1;0
127.189.86.37;131.84.1.31;0;0;1;0
127.95.53.41;131.84.1.31;0;0;1;0
127.57.200.92;131.84.1.31;0;0;1;0
127.51.156.49;131.84.1.31;0;0;1;0
127.208.116.187;131.84.1.31;0;0;1;0
127.170.91.190;131.84.1.31;0;0;1;0
127.205.200.56;131.84.1.31;0;0;1;0
127.166.85.67;131.84.1.31;0;0;1;0
127.168.146.83;131.84.1.31;0;0;1;0
127.15.11.159;131.84.1.31;0;0;1;0
127.144.81.98;131.84.1.31;0;0;1;0
127.17.173.217;131.84.1.31;0;0;1;0
127.17.139.100;131.84.1.31;0;0;1;0
127.70.222.123;131.84.1.31;0;0;1;0
127.14.252.97;131.84.1.31;0;0;1;0
127.16.218.30;131.84.1.31;0;0;1;0
127.114.146.130;131.84.1.31;0;0;1;0
127.86.199.143;131.84.1.31;0;0;1;0
127.194.66.94;131.84.1.31;0;0;1;0
127.238.92.12;131.84.1.31;0;0;1;0
127.164.17.230;131.84.1.31;0;0;1;0
127.151.251.165;131.84.1.31;0;0;1;0
127.145.9.97;131.84.1.31;0;0;1;0
127.130.26.251;131.84.1.31;0;0;1;0
127.229.55.144;131.84.1.31;0;0;1;0
127.52.22.44;131.84.1.31;0;0;1;0
127.159.51.64;131.84.1.31;0;0;1;0
127.16.242.53;131.84.1.31;0;0;1;0
