Remoto;Etapa 1;Etapa 2;Etapa 3;Etapa 4
127.176.23.127;0;0;1;0
127.246.172.20;0;0;1;0
127.124.163.220;0;0;1;0
127.70.121.88;0;0;1;0
127.126.232.50;0;0;1;0
127.39.226.157;0;0;1;0
127.196.247.163;0;0;1;0
127.93.87.245;0;0;1;0
127.146.131.2;0;0;1;0
127.209.192.254;0;0;1;0
127.147.17.4;0;0;1;0
127.255.137.73;0;0;1;0
127.37.0.104;0;0;1;0
127.36.137.177;0;0;1;0
127.117.86.95;0;0;1;0
127.56.59.71;0;0;1;0
127.225.65.151;0;0;1;0
127.170.13.55;0;0;1;0
127.36.161.3;0;0;1;0
127.29.227.152;0;0;1;0
127.159.196.122;0;0;1;0
127.28.176.147;0;0;1;0
127.32.2.12;0;0;1;0
127.74.118.57;0;0;1;0
127.137.249.48;0;0;1;0
127.9.41.102;0;0;1;0
127.210.47.130;0;0;1;0
127.138.253.236;0;0;1;0
127.174.185.10;0;0;1;0
127.25.81.85;0;0;1;0
127.120.203.199;0;0;1;0
127.251.21.74;0;0;1;0
127.26.57.119;0;0;1;0
127.108.35.16;0;0;1;0
127.85.80.227;0;0;1;0
127.192.161.239;0;0;1;0
127.131.174.109;0;0;1;0
127.239.238.27;0;0;1;0
127.17.140.53;0;0;1;0
127.235.170.134;0;0;1;0
127.49.226.212;0;0;1;0
127.89.85.1;0;0;1;0
127.19.105.226;0;0;1;0
127.208.99.175;0;0;1;0
127.11.162.236;0;0;1;0
127.64.47.105;0;0;1;0
127.217.253.12;0;0;1;0
127.213.104.194;0;0;1;0
127.233.163.95;0;0;1;0
127.140.92.160;0;0;1;0
127.123.238.178;0;0;1;0
127.35.184.38;0;0;1;0
127.76.190.101;0;0;1;0
127.133.29.129;0;0;1;0
127.249.127.4;0;0;1;0
127.254.70.156;0;0;1;0
127.165.216.3;0;0;1;0
127.176.6.213;0;0;1;0
127.16.127.153;0;0;1;0
127.53.249.134;0;0;1;0
127.209.56.205;0;0;1;0
127.146.215.206;0;0;1;0
127.152.62.7;0;0;1;0
127.239.36.89;0;0;1;0
127.225.63.39;0;0;1;0
127.179.98.180;0;0;1;0
127.182.21.240;0;0;1;0
127.71.160.44;0;0;1;0
127.227.9.165;0;0;1;0
127.158.57.191;0;0;1;0
127.201.162.238;0;0;1;0
127.229.136.173;0;0;1;0
127.172.197.211;0;0;1;0
127.251.221.119;0;0;1;0
127.101.72.243;0;0;1;0
127.93.55.203;0;0;1;0
127.151.88.233;0;0;1;0
127.231.200.67;0;0;1;0
127.167.16.113;0;0;1;0
127.174.104.79;0;0;1;0
127.202.55.61;0;0;1;0
127.6.240.245;0;0;1;0
127.203.23.45;0;0;1;0
127.83.254.157;0;0;1;0
127.9.207.77;0;0;1;0
127.63.82.145;0;0;1;0
127.25.65.84;0;0;1;0
127.90.178.70;0;0;1;0
127.188.12.157;0;0;1;0
127.124.199.23;0;0;1;0
127.225.145.192;0;0;1;0
127.6.176.200;0;0;1;0
127.151.232.78;0;0;1;0
127.7.96.78;0;0;1;0
127.52.53.182;0;0;1;0
127.232.120.153;0;0;1;0
127.167.54.113;0;0;1;0
127.178.89.150;0;0;1;0
54.236.202.91;0;0;1;0
127.65.132.229;0;0;1;0
127.133.239.20;0;0;1;0
127.182.246.39;0;0;1;0
127.57.1.78;0;0;1;0
127.130.142.248;0;0;1;0
127.240.11.18;0;0;1;0
127.158.189.126;0;0;1;0
127.131.56.206;0;0;1;0
127.170.84.62;0;0;1;0
127.248.104.241;0;0;1;0
127.181.191.132;0;0;1;0
127.10.18.253;0;0;1;0
127.195.29.203;0;0;1;0
127.83.112.140;0;0;1;0
127.1.52.209;0;0;1;0
127.128.48.225;0;0;1;0
127.245.208.190;0;0;1;0
127.101.188.85;0;0;1;0
127.200.52.52;0;0;1;0
127.141.125.122;0;0;1;0
127.126.227.188;0;0;1;0
127.82.208.41;0;0;1;0
127.95.55.83;0;0;1;0
127.17.236.123;0;0;1;0
127.126.130.42;0;0;1;0
127.178.83.188;0;0;1;0
127.27.152.112;0;0;1;0
127.8.30.194;0;0;1;0
127.216.250.80;0;0;1;0
127.45.128.194;0;0;1;0
127.63.92.55;0;0;1;0
127.219.9.179;0;0;1;0
127.255.33.30;0;0;1;0
127.162.76.116;0;0;1;0
127.84.81.30;0;0;1;0
127.53.238.16;0;0;1;0
127.47.4.135;0;0;1;0
127.233.20.35;0;0;1;0
127.158.251.150;0;0;1;0
127.44.207.213;0;0;1;0
127.123.78.74;0;0;1;0
127.124.106.160;0;0;1;0
127.24.80.232;0;0;1;0
127.64.83.204;0;0;1;0
127.126.211.251;0;0;1;0
127.57.94.240;0;0;1;0
127.72.166.133;0;0;1;0
127.135.253.127;0;0;1;0
127.209.174.52;0;0;1;0
127.101.59.58;0;0;1;0
127.81.75.253;0;0;1;0
127.174.111.194;0;0;1;0
127.146.182.136;0;0;1;0
127.103.170.64;0;0;1;0
127.183.79.123;0;0;1;0
127.3.250.154;0;0;1;0
127.207.199.133;0;0;1;0
127.58.74.237;0;0;1;0
127.108.202.5;0;0;1;0
127.91.197.133;0;0;1;0
127.45.73.200;0;0;1;0
127.112.96.165;0;0;1;0
127.233.155.222;0;0;1;0
127.128.218.210;0;0;1;0
115.166.137.80;0;0;1;0
127.253.37.56;0;0;1;0
127.15.221.243;0;0;1;0
127.205.151.139;0;0;1;0
127.103.205.2;0;0;1;0
40.150.29.185;0;0;1;0
127.119.234.29;0;0;1;0
127.136.243.202;0;0;1;0
127.58.6.11;0;0;1;0
127.215.166.74;0;0;1;0
127.229.65.23;0;0;1;0
127.85.42.211;0;0;1;0
127.114.55.56;0;0;1;0
127.31.65.41;0;0;1;0
34.5.17.249;0;0;1;0
127.189.86.37;0;0;1;0
127.95.53.41;0;0;1;0
127.57.200.92;0;0;1;0
127.51.156.49;0;0;1;0
127.208.116.187;0;0;1;0
127.170.91.190;0;0;1;0
127.205.200.56;0;0;1;0
127.166.85.67;0;0;1;0
127.168.146.83;0;0;1;0
127.15.11.159;0;0;1;0
127.144.81.98;0;0;1;0
127.17.173.217;0;0;1;0
127.17.139.100;0;0;1;0
127.70.222.123;0;0;1;0
127.14.252.97;0;0;1;0
127.16.218.30;0;0;1;0
127.114.146.130;0;0;1;0
127.86.199.143;0;0;1;0
127.194.66.94;0;0;1;0
127.238.92.12;0;0;1;0
127.164.17.230;0;0;1;0
127.151.251.165;0;0;1;0
127.145.9.97;0;0;1;0
127.130.26.251;0;0;1;0
127.229.55.144;0;0;1;0
127.52.22.44;0;0;1;0
127.159.51.64;0;0;1;0
127.16.242.53;0;0;1;0
